"Título de trazado: Estacion1"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, in (LGR S/N: 21471862, SEN S/N: 21560958)"
421,23/03/09 19:10:42,0.000
422,23/03/09 19:15:42,0.000
423,23/03/09 19:20:42,0.000
424,23/03/09 19:25:42,0.000
425,23/03/09 19:30:42,0.000
426,23/03/09 19:35:42,0.000
427,23/03/09 19:40:42,0.000
428,23/03/09 19:45:42,0.000
429,23/03/09 19:50:42,0.000
430,23/03/09 19:55:42,0.000
431,23/03/09 20:00:42,0.000
432,23/03/09 20:05:42,0.000
433,23/03/09 20:10:42,0.000
434,23/03/09 20:15:42,0.000
435,23/03/09 20:20:42,0.000
436,23/03/09 20:25:42,0.000
437,23/03/09 20:30:42,0.000
438,23/03/09 20:35:42,0.000
439,23/03/09 20:40:42,0.000
440,23/03/09 20:45:42,0.000
441,23/03/09 20:50:42,0.000
442,23/03/09 20:55:42,0.000
443,23/03/09 21:00:42,0.000
444,23/03/09 21:05:42,0.000
445,23/03/09 21:10:42,0.000
446,23/03/09 21:15:42,0.000
447,23/03/09 21:20:42,0.000
448,23/03/09 21:25:42,0.000
449,23/03/09 21:30:42,0.000
450,23/03/09 21:35:42,0.000
451,23/03/09 21:40:42,0.000
452,23/03/09 21:45:42,0.000
453,23/03/09 21:50:42,0.000
454,23/03/09 21:55:42,0.000
455,23/03/09 22:00:42,0.000
456,23/03/09 22:05:42,0.000
457,23/03/09 22:10:42,0.000
458,23/03/09 22:15:42,0.000
459,23/03/09 22:20:42,0.000
460,23/03/09 22:25:42,0.000
461,23/03/09 22:30:42,0.000
462,23/03/09 22:35:42,0.000
463,23/03/09 22:40:42,0.000
464,23/03/09 22:45:42,0.000
465,23/03/09 22:50:42,0.000
466,23/03/09 22:55:42,0.000
467,23/03/09 23:00:42,0.000
468,23/03/09 23:05:42,0.000
469,23/03/09 23:10:42,0.000
470,23/03/09 23:15:42,0.000
471,23/03/09 23:20:42,0.000
472,23/03/09 23:25:42,0.000
473,23/03/09 23:30:42,0.000
474,23/03/09 23:35:42,0.000
475,23/03/09 23:40:42,0.000
476,23/03/09 23:45:42,0.000
477,23/03/09 23:50:42,0.000
478,23/03/09 23:55:42,0.000
479,23/03/10 00:00:42,0.000
480,23/03/10 00:05:42,0.000
481,23/03/10 00:10:42,0.000
482,23/03/10 00:15:42,0.000
483,23/03/10 00:20:42,0.000
484,23/03/10 00:25:42,0.000
485,23/03/10 00:30:42,0.000
486,23/03/10 00:35:42,0.000
487,23/03/10 00:40:42,0.000
488,23/03/10 00:45:42,0.000
489,23/03/10 00:50:42,0.000
490,23/03/10 00:55:42,0.000
491,23/03/10 01:00:42,0.000
492,23/03/10 01:05:42,0.000
493,23/03/10 01:10:42,0.000
494,23/03/10 01:15:42,0.000
495,23/03/10 01:20:42,0.000
496,23/03/10 01:25:42,0.000
497,23/03/10 01:30:42,0.000
498,23/03/10 01:35:42,0.000
499,23/03/10 01:40:42,0.000
500,23/03/10 01:45:42,0.000
501,23/03/10 01:50:42,0.000
502,23/03/10 01:55:42,0.000
503,23/03/10 02:00:42,0.000
504,23/03/10 02:05:42,0.000
505,23/03/10 02:10:42,0.000
506,23/03/10 02:15:42,0.000
507,23/03/10 02:20:42,0.000
508,23/03/10 02:25:42,0.000
509,23/03/10 02:30:42,0.000
510,23/03/10 02:35:42,0.000
511,23/03/10 02:40:42,0.000
512,23/03/10 02:45:42,0.000
513,23/03/10 02:50:42,0.000
514,23/03/10 02:55:42,0.000
515,23/03/10 03:00:42,0.000
516,23/03/10 03:05:42,0.000
517,23/03/10 03:10:42,0.000
518,23/03/10 03:15:42,0.000
519,23/03/10 03:20:42,0.000
520,23/03/10 03:25:42,0.000
521,23/03/10 03:30:42,0.000
522,23/03/10 03:35:42,0.000
523,23/03/10 03:40:42,0.000
524,23/03/10 03:45:42,0.000
525,23/03/10 03:50:42,0.000
526,23/03/10 03:55:42,0.000
527,23/03/10 04:00:42,0.000
528,23/03/10 04:05:42,0.000
529,23/03/10 04:10:42,0.000
530,23/03/10 04:15:42,0.000
531,23/03/10 04:20:42,0.000
532,23/03/10 04:25:42,0.000
533,23/03/10 04:30:42,0.000
534,23/03/10 04:35:42,0.000
535,23/03/10 04:40:42,0.000
536,23/03/10 04:45:42,0.000
537,23/03/10 04:50:42,0.000
538,23/03/10 04:55:42,0.000
539,23/03/10 05:00:42,0.000
540,23/03/10 05:05:42,0.000
541,23/03/10 05:10:42,0.000
542,23/03/10 05:15:42,0.000
543,23/03/10 05:20:42,0.000
544,23/03/10 05:25:42,0.000
545,23/03/10 05:30:42,0.000
546,23/03/10 05:35:42,0.000
547,23/03/10 05:40:42,0.000
548,23/03/10 05:45:42,0.000
549,23/03/10 05:50:42,0.000
550,23/03/10 05:55:42,0.000
551,23/03/10 06:00:42,0.000
552,23/03/10 06:05:42,0.000
553,23/03/10 06:10:42,0.000
554,23/03/10 06:15:42,0.000
555,23/03/10 06:20:42,0.000
556,23/03/10 06:25:42,0.000
557,23/03/10 06:30:42,0.000
558,23/03/10 06:35:42,0.000
559,23/03/10 06:40:42,0.000
560,23/03/10 06:45:42,0.000
561,23/03/10 06:50:42,0.000
562,23/03/10 06:55:42,0.000
563,23/03/10 07:00:42,0.000
564,23/03/10 07:05:42,0.000
565,23/03/10 07:10:42,0.000
566,23/03/10 07:15:42,0.000
567,23/03/10 07:20:42,0.000
568,23/03/10 07:25:42,0.000
569,23/03/10 07:30:42,0.000
570,23/03/10 07:35:42,0.000
571,23/03/10 07:40:42,0.000
572,23/03/10 07:45:42,0.000
573,23/03/10 07:50:42,0.000
574,23/03/10 07:55:42,0.000
575,23/03/10 08:00:42,0.000
576,23/03/10 08:05:42,0.000
577,23/03/10 08:10:42,0.000
578,23/03/10 08:15:42,0.000
579,23/03/10 08:20:42,0.000
580,23/03/10 08:25:42,0.000
581,23/03/10 08:30:42,0.000
582,23/03/10 08:35:42,0.000
583,23/03/10 08:40:42,0.000
584,23/03/10 08:45:42,0.000
585,23/03/10 08:50:42,0.000
586,23/03/10 08:55:42,0.000
587,23/03/10 09:00:42,0.000
588,23/03/10 09:05:42,0.000
589,23/03/10 09:10:42,0.000
590,23/03/10 09:15:42,0.000
591,23/03/10 09:20:42,0.000
592,23/03/10 09:25:42,0.000
593,23/03/10 09:30:42,0.000
594,23/03/10 09:35:42,0.000
595,23/03/10 09:40:42,0.000
596,23/03/10 09:45:42,0.000
597,23/03/10 09:50:42,0.000
598,23/03/10 09:55:42,0.000
599,23/03/10 10:00:42,0.000
600,23/03/10 10:05:42,0.000
601,23/03/10 10:10:42,0.000
602,23/03/10 10:15:42,0.000
603,23/03/10 10:20:42,0.000
604,23/03/10 10:25:42,0.000
605,23/03/10 10:30:42,0.000
606,23/03/10 10:35:42,0.000
607,23/03/10 10:40:42,0.000
608,23/03/10 10:45:42,0.000
609,23/03/10 10:50:42,0.000
610,23/03/10 10:55:42,0.000
611,23/03/10 11:00:42,0.000
612,23/03/10 11:05:42,0.000
613,23/03/10 11:10:42,0.000
614,23/03/10 11:15:42,0.000
615,23/03/10 11:20:42,0.000
616,23/03/10 11:25:42,0.000
617,23/03/10 11:30:42,0.000
618,23/03/10 11:35:42,0.000
619,23/03/10 11:40:42,0.000
620,23/03/10 11:45:42,0.000
621,23/03/10 11:50:42,0.000
622,23/03/10 11:55:42,0.000
623,23/03/10 12:00:42,0.000
624,23/03/10 12:05:42,0.000
625,23/03/10 12:10:42,0.000
626,23/03/10 12:15:42,0.000
627,23/03/10 12:20:42,0.000
628,23/03/10 12:25:42,0.000
629,23/03/10 12:30:42,0.000
630,23/03/10 12:35:42,0.000
631,23/03/10 12:40:42,0.000
632,23/03/10 12:45:42,0.000
633,23/03/10 12:50:42,0.000
634,23/03/10 12:55:42,0.000
635,23/03/10 13:00:42,0.016
636,23/03/10 13:05:42,0.000
637,23/03/10 13:10:42,0.008
638,23/03/10 13:15:42,0.000
639,23/03/10 13:20:42,0.008
640,23/03/10 13:25:42,0.000
641,23/03/10 13:30:42,0.008
642,23/03/10 13:35:42,0.000
643,23/03/10 13:40:42,0.008
644,23/03/10 13:45:42,0.000
645,23/03/10 13:50:42,0.000
646,23/03/10 13:55:42,0.000
647,23/03/10 14:00:42,0.000
648,23/03/10 14:05:42,0.000
649,23/03/10 14:10:42,0.000
650,23/03/10 14:15:42,0.000
651,23/03/10 14:20:42,0.000
652,23/03/10 14:25:42,0.000
653,23/03/10 14:30:42,0.000
654,23/03/10 14:35:42,0.000
655,23/03/10 14:40:42,0.000
656,23/03/10 14:45:42,0.000
657,23/03/10 14:50:42,0.000
658,23/03/10 14:55:42,0.000
659,23/03/10 15:00:42,0.000
660,23/03/10 15:05:42,0.000
661,23/03/10 15:10:42,0.000
662,23/03/10 15:15:42,0.000
663,23/03/10 15:20:42,0.000
664,23/03/10 15:25:42,0.000
665,23/03/10 15:30:42,0.008
666,23/03/10 15:35:42,0.008
667,23/03/10 15:40:42,0.047
668,23/03/10 15:45:42,0.008
669,23/03/10 15:50:42,0.016
670,23/03/10 15:55:42,0.000
671,23/03/10 16:00:42,0.000
672,23/03/10 16:05:42,0.008
673,23/03/10 16:10:42,0.000
674,23/03/10 16:15:42,0.000
675,23/03/10 16:20:42,0.000
676,23/03/10 16:25:42,0.000
677,23/03/10 16:30:42,0.000
678,23/03/10 16:35:42,0.000
679,23/03/10 16:40:42,0.008
680,23/03/10 16:45:42,0.000
681,23/03/10 16:50:42,0.000
682,23/03/10 16:55:42,0.000
683,23/03/10 17:00:42,0.000
684,23/03/10 17:05:42,0.000
685,23/03/10 17:10:42,0.000
686,23/03/10 17:15:42,0.000
687,23/03/10 17:20:42,0.000
688,23/03/10 17:25:42,0.000
689,23/03/10 17:30:42,0.000
690,23/03/10 17:35:42,0.000
691,23/03/10 17:40:42,0.000
692,23/03/10 17:45:42,0.000
693,23/03/10 17:50:42,0.000
694,23/03/10 17:55:42,0.000
695,23/03/10 18:00:42,0.000
696,23/03/10 18:05:42,0.000
697,23/03/10 18:10:42,0.000
698,23/03/10 18:15:42,0.000
699,23/03/10 18:20:42,0.000
700,23/03/10 18:25:42,0.000
701,23/03/10 18:30:42,0.000
702,23/03/10 18:35:42,0.000
703,23/03/10 18:40:42,0.000
704,23/03/10 18:45:42,0.000
705,23/03/10 18:50:42,0.000
706,23/03/10 18:55:42,0.000
707,23/03/10 19:00:42,0.000
708,23/03/10 19:05:42,0.000
709,23/03/10 19:10:42,0.000
710,23/03/10 19:15:42,0.000
711,23/03/10 19:20:42,0.000
712,23/03/10 19:25:42,0.000
713,23/03/10 19:30:42,0.000
714,23/03/10 19:35:42,0.000
715,23/03/10 19:40:42,0.000
716,23/03/10 19:45:42,0.000
717,23/03/10 19:50:42,0.000
718,23/03/10 19:55:42,0.000
719,23/03/10 20:00:42,0.000
720,23/03/10 20:05:42,0.000
721,23/03/10 20:10:42,0.000
722,23/03/10 20:15:42,0.000
723,23/03/10 20:20:42,0.000
724,23/03/10 20:25:42,0.000
725,23/03/10 20:30:42,0.000
726,23/03/10 20:35:42,0.000
727,23/03/10 20:40:42,0.000
728,23/03/10 20:45:42,0.000
729,23/03/10 20:50:42,0.000
730,23/03/10 20:55:42,0.000
731,23/03/10 21:00:42,0.000
732,23/03/10 21:05:42,0.000
733,23/03/10 21:10:42,0.000
734,23/03/10 21:15:42,0.000
735,23/03/10 21:20:42,0.000
736,23/03/10 21:25:42,0.000
737,23/03/10 21:30:42,0.000
738,23/03/10 21:35:42,0.000
739,23/03/10 21:40:42,0.000
740,23/03/10 21:45:42,0.000
741,23/03/10 21:50:42,0.000
742,23/03/10 21:55:42,0.000
743,23/03/10 22:00:42,0.000
744,23/03/10 22:05:42,0.000
745,23/03/10 22:10:42,0.000
746,23/03/10 22:15:42,0.000
747,23/03/10 22:20:42,0.000
748,23/03/10 22:25:42,0.000
749,23/03/10 22:30:42,0.000
750,23/03/10 22:35:42,0.000
751,23/03/10 22:40:42,0.000
752,23/03/10 22:45:42,0.000
753,23/03/10 22:50:42,0.000
754,23/03/10 22:55:42,0.000
755,23/03/10 23:00:42,0.000
756,23/03/10 23:05:42,0.000
757,23/03/10 23:10:42,0.000
758,23/03/10 23:15:42,0.000
759,23/03/10 23:20:42,0.000
760,23/03/10 23:25:42,0.000
761,23/03/10 23:30:42,0.000
762,23/03/10 23:35:42,0.000
763,23/03/10 23:40:42,0.000
764,23/03/10 23:45:42,0.000
765,23/03/10 23:50:42,0.000
766,23/03/10 23:55:42,0.000
767,23/03/11 00:00:42,0.000
768,23/03/11 00:05:42,0.000
769,23/03/11 00:10:42,0.000
